HSC1_1	HSC1_13	HSC1_14	HSC1_2	HSC1_3	HSC1_4	HSC1_6	HSC1_7	HSC1_8	HSC1_9	HSC3_10	HSC3_12	HSC3_13	HSC3_14	CMP_4	CMP_5	CMP_6	CMP_7	MEP_1	MEP_2	MEP_3	MEP_4	MEP_5	MEP_6	MEP_7	MEP_8	MEP_9	ERY1_3	ERY1_4	ERY1_5	ERY1_6	ERY1_7	ERY1_8	ERY1_9	ERY2_3	ERY2_4	ERY2_5	ERY2_6	ERY2_7	ERY2_8	ERY2_9	ERY3_3	ERY3_4	ERY3_5	ERY3_6	ERY3_7	ERY3_8	ERY4_3	ERY4_4	ERY4_5	ERY4_6	ERY4_7	ERY4_8	ERY4_9	ERY5_3	ERY5_5	ERY5_6	ERY5_7	ERY5_8	ERY5_9	MEGA1_2	MEGA1_3	MEGA1_4	MEGA1_5	MEGA1_6	MEGA1_7	MEGA2_2	MEGA2_3	MEGA2_4	MEGA2_5	MEGA2_6	MEGA2_7	GMP_4	GMP_5	GMP_7	GMP_9	GRAN1_2	GRAN1_3	GRAN1_4	GRAN1_5	GRAN1_6	GRAN2_2	GRAN2_4	GRAN2_5	GRAN2_6	GRAN3_3	GRAN3_4	GRAN3_5	GRAN3_6	MONO1_1	MONO1_2	MONO1_3	MONO1_4	MONO2_1	MONO2_2	MONO2_3	MONO2_4	MONO2_5	EOS2_1	EOS2_2	EOS2_3	EOS2_4	EOS2_5	BASO1_3	BASO1_4	BASO1_5	BASO1_6	BASO1_7	BASO1_8	DENDA2_1	DENDA2_2	DENDA2_3	DENDA2_4	DENDA2_5	DENDA1_1	DENDA1_2	DENDA1_3	DENDA1_4	DENDA1_5	PREBCELL2_1	PREBCELL2_3	PREBCELL2_4	PREBCELL2_6	PREBCELL3_1	PREBCELL3_3	PREBCELL3_4	PREBCELL3_5	PREBCELL3_6	BCELLA1_1	BCELLA1_2	BCELLA1_3	BCELLA1_4	BCELLA1_5	BCELLA2_1	BCELLA2_2	BCELLA2_3	BCELLA2_4	BCELLA2_5	BCELLA3_1	BCELLA3_2	BCELLA3_3	BCELLA3_4	BCELLA3_5	BCELLA4_1	BCELLA4_2	BCELLA4_3	BCELLA4_4	BCELLA4_5	NKA1_1	NKA1_2	NKA1_4	NKA1_5	NKA2_1	NKA2_2	NKA2_3	NKA2_4	NKA2_5	NKA3_1	NKA3_2	NKA3_3	NKA3_4	NKA3_5	NKA4_2	NKA4_3	NKA4_4	NKA4_5	TCELLA1_11	TCELLA1_5	TCELLA1_6	TCELLA1_7	TCELLA2_10	TCELLA2_11	TCELLA2_3	TCELLA2_5	TCELLA2_6	TCELLA2_7	TCELLA2_8	TCELLA3_11	TCELLA3_3	TCELLA3_5	TCELLA3_6	TCELLA3_7	TCELLA3_8	TCELLA4_10	TCELLA4_11	TCELLA4_3	TCELLA4_5	TCELLA4_6	TCELLA4_7	TCELLA4_8	TCELLA6_10	TCELLA6_11	TCELLA6_3	TCELLA6_5	TCELLA6_6	TCELLA6_7	TCELLA6_8	TCELLA7_10	TCELLA7_11	TCELLA7_3	TCELLA7_5	TCELLA7_6	TCELLA7_7	TCELLA7_8	TCELLA8_10	TCELLA8_11	TCELLA8_3	TCELLA8_5	TCELLA8_6	TCELLA8_7	TCELLA8_8
ADCY3	1.84538	1.77468	1.34798	0.89618	1.23508	0.58678	1.42478	0.92048	1.33058	1.27028	1.11468	1.50018	1.49618	1.27338	0.35108	0.36528	-0.43302	-0.92762	1.03498	0.85318	0.64258	1.10738	-0.18272	0.34188	0.28538	0.14048	0.18988	0.31278	-0.43412	0.93588	-0.20842	0.69848	0.94418	0.26508	-0.43802	0.15788	-0.97712	0.31978	0.22128	0.86428	-0.25292	-0.44332	-0.77472	-0.56122	-1.36652	-0.70032	0.10498	-0.45212	-0.81772	-0.94222	-0.23992	-0.05322	-0.30622	1.00708	-0.64322	-0.92702	-0.85432	-0.94342	-0.80172	-0.01632	-0.20412	-0.46562	-0.28602	0.57778	0.11188	-0.23212	-0.37392	-0.38582	-0.40882	-0.79492	-0.91662	-0.70022	-0.83932	-0.15902	-1.38972	0.17538	0.72668	1.02308	0.45048	1.27008	0.68818	-0.08842	-1.21832	-0.74722	-0.34362	-1.36242	-0.53232	-0.87882	-1.29832	-0.37042	0.22188	-0.41472	-0.79612	-0.27462	-1.33132	-0.76052	-1.89622	-0.71482	-0.96992	-0.14472	-0.58982	-0.66272	-0.54602	-0.22062	-0.35892	-0.59152	-0.35152	-0.33902	-0.73592	0.74428	-0.26062	-0.57602	-0.80512	-0.27262	0.35868	-0.53922	-0.84612	0.83108	-0.21602	-0.54122	-0.24292	-0.49332	-1.08262	-1.09812	-0.69422	-0.27532	-1.27462	-0.80882	0.12848	0.63018	1.10588	0.25598	0.57308	0.96778	1.56548	1.20158	1.23318	1.40268	1.24678	0.11288	0.26598	0.44168	0.12858	0.83158	1.48158	0.71258	0.84668	0.28238	-1.49062	-1.42942	-1.49552	-1.29642	-1.49522	-1.54082	-1.13072	-1.71682	-1.58582	0.07338	-0.23932	-0.68162	0.23558	-0.24202	-0.39772	-1.26372	-0.62092	-1.34212	-1.27052	0.34348	-0.90392	-0.81392	0.44768	0.06148	0.47778	1.09938	0.61238	0.40158	0.82488	-0.01122	-0.47152	0.09798	0.05258	0.86548	-0.53832	0.07738	-0.20952	1.18418	0.04998	0.82148	1.20758	-0.58342	0.24878	-0.28292	-0.32602	0.28048	-0.52742	0.65308	0.41818	0.29448	-0.07742	2.06178	0.56168	1.09428	1.08418	1.45008	0.40338	-0.09212	1.58178	0.61798	0.48598	1.39398	1.17778
RHOBTB1	2.82828	2.92818	2.56418	2.54268	2.73358	2.23488	2.76428	2.13178	2.78668	2.32928	2.39228	2.45768	2.55028	1.95928	1.55158	1.28318	2.35128	-0.29592	2.55698	2.67868	2.82048	2.29748	1.20498	2.71198	2.30278	2.58138	2.15058	1.65468	0.83448	2.25198	2.48318	2.27518	2.45418	1.72678	-0.23132	1.13438	0.66358	1.85598	1.46198	1.75748	0.60008	-1.75102	-0.40742	-1.65132	-0.69732	-0.35732	-0.07092	-0.49162	-0.01792	-0.21132	-1.72742	1.18228	0.19408	-1.95012	-0.64662	0.32788	0.19998	-0.91442	0.99248	-1.10632	3.67048	2.51208	1.65538	1.80838	2.42248	0.47048	3.73728	4.64588	3.21688	1.37878	0.34168	1.31798	1.24928	0.71018	2.29078	2.46778	-0.20142	-0.08162	-0.16942	0.62848	0.14508	-0.98022	1.25508	1.59958	0.78028	-1.11882	-0.29982	1.45708	0.44848	-0.60902	0.83808	-0.12692	0.05608	-0.65022	-0.14502	0.40788	0.00848	0.06788	-0.12212	-0.11132	0.63188	0.50768	-0.18852	-0.46502	0.03658	0.04028	-0.42612	0.17308	-0.17612	1.11788	0.55768	-0.00422	-0.05982	-0.09612	-0.97492	-1.22842	0.25648	-1.11572	0.91978	0.40728	0.04518	-0.81902	-0.40272	1.69578	2.08118	2.35598	1.20298	-0.51842	-0.57402	-0.93972	-1.48652	-0.02752	-0.90122	-2.04482	-1.23512	-1.67662	-1.60742	-1.63212	-0.96582	0.50958	-1.75492	-0.84662	-1.64872	-1.39172	-1.43232	-1.85072	-1.59262	-2.21252	-1.30262	-1.18032	-1.12412	-0.32552	-1.55862	-1.17592	-1.53932	-1.79362	-1.73072	-0.82652	-1.40182	-1.07262	-1.32932	0.56128	-0.68422	-1.54102	-0.95752	-0.75212	-1.19212	-1.15392	-1.70072	-2.06812	-1.44962	-1.26632	-1.83272	-1.99802	-2.14242	-1.17072	-1.68012	-1.43942	-1.37502	-1.39772	-1.70172	-2.17772	-1.52032	-0.85872	-1.60092	-1.42052	-1.22792	-1.69632	-2.30772	-1.06732	-1.11662	-1.54752	-1.64792	-1.98692	-1.62332	-1.68172	-1.63382	-2.06022	-1.51732	-1.73462	-1.92082	-1.77662	-1.42932	-1.19282	-1.09942	-1.16802	-2.08592	-1.48232	-1.31322	-1.80912	-1.42332
ERLIN1	2.59357	2.36437	2.46537	2.03797	2.25357	2.08867	2.12887	2.07677	2.03407	1.58827	2.06717	2.02327	2.00697	2.21827	1.64337	2.35607	1.64227	-2.76413	1.95937	1.92977	2.09027	2.60977	1.14977	2.15397	2.25147	2.23387	2.08607	1.97847	0.27137	2.22507	2.15087	1.98077	1.99977	2.64507	-0.48943	2.03547	0.77357	1.67497	1.54417	2.90677	1.67747	-1.92833	-1.78433	-0.66313	-2.52123	-3.43903	-0.45693	-1.95643	-2.69873	-2.76513	-1.42083	1.20177	-0.24053	1.12487	-2.22673	-1.75613	-1.63993	-2.22053	-0.08713	-0.33493	-1.11253	0.40397	0.36447	1.86607	1.82517	1.01287	-1.28963	0.50327	0.03807	-0.28843	0.12277	-1.13493	1.67127	0.18827	0.81017	2.12187	-0.05413	0.42727	0.95137	1.32367	1.37227	0.75647	1.48117	1.19167	1.56147	0.09017	1.06347	1.00757	1.07987	2.15627	1.39967	0.09277	-0.02093	1.71097	1.94357	2.04997	0.68427	1.40207	-1.10403	-0.77223	0.01717	-0.81283	1.61627	0.32977	-0.75113	-2.30613	-1.58453	0.43567	-1.05003	0.45907	0.13157	-0.04643	-1.06943	-1.11453	-0.03913	-2.26453	-1.86133	-0.60683	-2.28663	-1.41093	-1.08803	-2.32963	-1.38713	-1.62553	-0.85893	-1.15453	-1.29773	-0.09943	-1.06923	-1.34693	0.19997	-1.77633	-1.76263	-1.40933	-1.09203	-0.94263	-0.94383	-1.12393	-0.43853	-1.59013	-0.34433	-1.05543	-2.08203	-0.70373	-1.16043	-0.50193	-1.35603	-1.69133	-0.08583	-0.02543	-0.09073	-1.44313	-0.57693	-0.70573	-0.23463	-1.09893	-1.10353	-0.86533	-0.47283	-1.26093	-0.31383	-1.17683	-2.23753	-0.23023	-0.69323	-0.07213	-1.05963	-0.02813	-0.99113	0.11927	0.34827	0.27317	-0.19043	-0.09463	-0.38853	-0.95303	0.36867	-0.98173	-0.44783	-1.02673	-0.75593	-0.94263	-0.85563	-1.33163	-0.57593	0.14377	-0.71213	-0.11343	-0.83703	-1.01463	0.14707	-0.38983	0.09787	-0.58313	-0.96783	-0.64653	0.42527	-0.95983	-0.99843	0.21827	-0.81033	-0.24683	-0.58923	0.23597	-0.42403	-0.02223	-0.09463	-0.37973	-0.78283	-0.48773	0.49387
BZW2	1.59054	1.20354	1.33994	1.32454	1.37964	1.13764	1.20574	1.33914	1.23384	1.37664	1.27714	1.30204	1.37164	1.36064	1.43324	1.33104	1.16824	-0.71066	1.15084	1.26164	1.33324	1.80474	1.34604	1.24484	1.32154	1.59614	1.17254	1.68874	0.94334	1.30684	1.16764	1.44334	1.24734	1.88024	-0.08536	0.88064	1.00324	1.02744	1.12384	1.04924	1.14834	0.35114	-1.59576	0.59044	-0.22936	-0.07846	0.05774	-0.27356	-0.32726	-0.09896	0.65284	0.91784	-0.34836	0.53204	-1.37176	0.24664	0.50794	-0.43466	0.09294	-0.96096	-0.14096	0.28464	0.51274	1.50524	1.20764	0.63114	-1.16086	0.41304	-0.05906	-0.42846	0.10484	-1.44046	0.87894	0.44304	-0.35956	1.36384	0.61424	0.93214	0.69664	0.73354	0.34514	0.02244	-0.56546	-0.19106	-0.02306	-0.90596	0.06824	0.00684	-0.21536	-0.33806	0.16534	-1.38756	-0.94236	0.38824	0.40324	0.30384	-0.76246	-0.59586	-0.66516	0.51464	0.53584	-0.63186	-0.10166	0.04894	-0.03506	-1.18176	-0.41696	-0.71706	-0.28126	0.81164	0.39424	0.20644	0.32794	0.41124	-0.33886	-0.90736	-1.24856	-0.15636	-3.25676	0.19764	-0.07866	-1.31416	-0.74556	-0.44836	-0.78396	-0.29056	-1.00906	-0.16596	-0.45226	-0.47406	0.02984	-0.79586	-0.47866	-0.14986	-0.19596	-0.37416	-0.12706	-0.24476	0.24844	-1.09076	-0.37026	-0.31896	-0.46056	-0.30126	-0.09686	-0.61576	-0.36136	-0.50046	-1.04896	-0.84956	-0.93236	-1.84246	-1.30476	-1.60576	-0.53456	-1.22276	-1.75886	0.10464	-0.05856	-0.13626	0.24104	-0.17886	-1.93386	-0.28196	-0.50626	-1.76086	-2.05706	-0.34066	-0.09206	-0.61486	0.05984	0.16134	0.17784	0.37854	0.24304	0.35004	0.56814	-1.50416	-0.68546	-0.35256	-0.16686	-0.70846	-0.74006	-0.92596	-0.61386	-0.27016	-0.48246	-0.33336	-0.24396	-0.58526	-0.25206	-0.58686	-0.51536	-0.20266	-0.31696	-0.14936	0.10344	-0.86396	-1.29116	-0.58356	-0.23846	-0.25176	-0.30326	0.13544	-0.41066	-0.86456	-0.74456	0.03364	-0.13766	-0.26436	0.09084
TEK	1.51369	0.85239	1.11809	1.05919	0.63739	0.80899	0.69059	0.41369	1.40559	0.79139	1.69239	1.39779	1.69229	1.43399	-0.53391	-0.23941	-0.24341	-0.19851	0.81199	0.21329	0.27859	-0.01711	1.02059	1.00079	1.19769	1.15009	0.92769	2.08339	1.18719	0.38439	1.58699	2.02129	0.14039	0.64349	0.53699	1.11979	0.71999	-0.06271	0.88199	0.76219	0.93469	0.36719	-0.02471	-0.49541	-0.04141	-0.01931	-0.31461	1.29349	-0.15521	-0.44831	-0.17741	0.90629	-0.24491	-0.29971	-0.18751	-0.30531	-0.09691	0.22049	1.32099	0.51589	0.05229	0.09889	-0.28231	0.60239	0.83579	-0.22781	0.42869	1.17289	0.33469	-0.32601	0.11159	-0.04681	0.54509	-0.16671	-0.45881	-0.44671	-0.58211	-0.28771	0.01659	-0.06841	-0.39581	0.04799	-0.46651	-0.67521	-0.14691	-0.09871	-0.52661	-0.27551	-0.29031	-0.45081	0.08479	-0.13741	-0.62421	-0.23381	-0.34171	-0.71401	-0.53461	-0.14971	-0.01661	-0.21241	-0.21571	-0.29221	-0.21841	-0.00031	-0.42991	-0.06841	-0.12871	-0.06851	-0.32151	-0.46401	-0.22121	-0.46941	-0.01491	-0.23551	-0.20861	-0.38641	0.75769	-0.31981	0.54099	-0.15981	0.08909	-0.17761	-0.50651	0.05609	-0.44791	0.71759	0.05449	-0.23381	0.22779	-0.34501	-0.00861	0.32929	-0.17231	-0.33881	-0.32311	-0.54821	-0.14761	-0.40721	-0.24551	0.49979	-0.30201	-0.37611	-0.20641	-0.45891	-0.31631	-0.24101	0.00109	-0.25341	-0.40421	-0.43401	-0.28781	-0.50471	-0.38221	-0.51041	-0.52241	-0.47791	-0.42891	-0.31731	-0.27441	-0.35581	-0.48461	-0.31791	-0.20111	-0.48051	-0.25521	-0.14581	-0.32481	-0.53641	-0.51441	-0.38121	-0.49591	-0.17771	-0.36901	-0.34121	-0.52471	-0.46271	-0.26051	-0.36631	-0.41461	-0.27721	-0.38451	-0.39941	-0.68721	-0.46161	-0.37171	-0.17691	-0.51591	-0.27551	-0.41421	-0.57241	-0.04211	-0.38861	0.03999	-0.43821	-0.47991	-0.57281	-0.49561	-0.44231	-0.22201	-0.54291	-0.28391	-0.37121	-0.41151	-0.42041	-0.39271	-0.01001	-0.40061	-0.30991	-0.32941	-0.48171	-0.28281
CD200	1.82885	1.86275	1.64695	2.08675	2.25185	0.37065	1.77035	1.63815	2.21405	0.25585	1.71565	2.08705	2.22355	2.68855	-0.46365	-0.50585	-0.01085	-0.55025	-0.00515	0.88735	0.85975	0.44775	-0.20065	0.43015	0.17695	-0.25425	0.58365	-0.35255	-0.46135	1.32015	0.38135	0.80535	-0.36685	-1.02775	1.67905	-0.35435	-0.47895	-0.12325	-0.72045	-0.76905	-0.71685	-0.74895	-0.56055	-0.57665	-0.52525	-0.07855	-0.68765	-0.24515	-0.45405	-0.57495	-0.22035	-0.49465	-0.74705	-0.81005	-0.48835	-0.40355	-0.14535	-0.46635	0.13705	-0.72405	-0.28895	0.09145	0.13435	0.31365	0.60745	-0.46325	-0.36765	-0.19475	0.10485	0.11425	-0.56815	-0.31535	1.45015	-0.34295	-0.55595	0.98455	0.44845	0.73515	-0.20105	1.74505	0.55105	-0.33675	-0.63185	-1.00955	-0.48445	-0.49435	-0.64285	-0.63005	-0.61545	-0.50415	-0.48915	-0.65165	-0.90145	-0.75455	-0.83455	-0.87815	-0.61225	-0.31195	0.80385	0.89925	0.84435	0.06745	-0.32995	0.96545	0.67015	0.67545	1.03705	0.62995	1.23435	-0.85035	-0.60385	-0.62915	-0.57525	-0.34265	0.29415	-0.60475	-0.42725	-0.77335	-0.54125	1.40575	0.54055	-0.58275	-0.10525	0.48005	0.91765	1.02275	0.63305	-0.32035	3.24095	2.60175	4.22195	2.76425	2.37575	0.74775	-0.32635	0.06765	0.46105	-0.19445	2.59365	0.50305	1.25345	1.19615	0.67075	0.01365	-0.50835	-0.43885	-0.44005	-0.30005	-0.66055	-0.84475	-0.86135	-0.69575	-0.94845	-0.77945	-0.90575	-0.75985	-0.84345	-0.92995	-0.83835	-0.93485	0.21505	-0.66295	-0.22255	-0.83975	-0.63575	-0.64865	0.04335	-0.68715	-0.48835	-0.57665	-0.28515	-0.29105	-0.54915	-0.76795	-0.68565	-0.73135	-0.75555	-0.42555	-0.59355	-0.62145	-0.78565	-0.84445	-0.78405	-0.29075	0.02915	-0.35715	-0.79705	-0.79245	-0.72845	-0.49935	-0.12095	-0.20505	-0.39235	-0.73595	-0.55765	-0.55215	-0.76305	-0.56085	0.16485	-0.55715	-0.57915	-0.68105	-0.66515	-0.57005	-0.46465	-0.25995	-0.49695	-0.55875	-0.48475	-0.47745	-0.59375
HIST1H2BG	2.24395	2.03735	2.63635	2.52095	1.02485	1.10935	1.86365	2.67785	1.25925	3.81325	2.96375	2.90455	2.85845	2.76615	0.55875	1.17585	0.91615	1.68455	2.20655	1.12485	2.76885	0.58045	0.71415	1.32025	1.12215	2.06265	2.75315	-1.20415	0.06525	1.09145	2.24865	0.46995	-0.51805	-0.27115	-1.45055	0.65875	-0.30225	0.20615	0.53865	-0.07005	-0.47815	-1.58785	-1.03255	0.12865	-1.01805	0.08125	0.01125	0.08005	0.28115	-0.08035	-0.80175	-0.36355	-0.17685	-0.58375	-0.84155	-1.12245	-0.20125	1.26615	0.75755	1.40855	2.41855	2.10375	1.42735	1.03195	1.50715	0.97585	3.10745	3.70845	3.02295	1.23015	-0.38555	1.15885	1.31705	1.05225	-0.10635	1.58835	1.72565	2.43285	1.59955	1.76095	2.01645	1.03965	0.53745	-0.32375	0.27835	1.12585	0.47575	-0.31635	0.31955	-1.15395	-0.62555	0.33345	-0.30615	-1.22755	-0.69465	-1.15365	-0.80725	-0.17795	0.35125	0.05185	0.44925	1.63755	-0.22265	0.09825	0.66225	0.78255	0.44455	-0.22925	-0.37715	-0.91085	-0.84905	-0.23505	-0.81385	-0.02105	-0.84615	0.18535	0.34995	-0.46915	1.32075	2.17025	1.42585	0.17625	0.09755	1.36775	1.04835	-0.63745	0.91235	-0.73355	-1.19545	-1.30165	-1.38805	-1.18995	-1.16235	-1.38635	-1.15185	-1.44155	-1.25975	-1.54695	-1.25255	-1.18285	-1.14385	-0.97315	-1.22895	-1.49215	-1.43925	-1.57945	-1.33975	-1.09585	-1.12895	-0.68755	-1.08855	0.28595	-1.00785	-0.55985	-1.36755	-0.86645	-0.82215	-0.55365	-0.51515	-0.40675	-1.61795	0.28175	0.38895	-1.37295	-0.07365	-0.33385	-0.61705	-0.44035	-1.60425	-0.73325	-1.09705	-1.25605	-1.73345	-1.07655	-1.44595	-1.24395	-1.39975	-0.76295	-1.41995	-1.24205	-0.36795	-1.28735	-1.17465	-0.54445	-1.03615	-1.57205	-1.66175	-1.42985	-1.32315	-0.47175	-1.06995	-1.57175	-1.38305	-1.53165	-1.54695	-0.59785	-1.05755	-0.97465	-0.23525	-1.38965	-1.80005	-0.02075	-1.03355	-1.11975	-1.20665	-0.34325	-1.48425	-1.60785	-1.47925	-1.30065	-1.16775
PRRG1	1.70567	0.91127	1.21527	1.21517	1.66877	0.25787	0.79717	1.30947	1.18437	0.63457	1.89517	1.69407	1.24757	1.34697	1.45907	-0.44153	-0.96203	-0.29363	0.36937	-0.36523	-0.53323	0.06627	-0.43553	-0.47343	-0.47273	-0.47083	0.40947	0.44927	-0.29823	0.73657	0.48487	-0.01253	-0.10913	-0.01733	0.71647	1.52317	-0.45003	-0.21803	0.60497	0.31617	0.93837	0.29397	-0.06603	-0.21523	-0.33973	0.76547	0.42457	1.40397	0.39147	-0.40753	2.84187	-0.03583	-0.77283	0.19667	-0.54373	0.50407	0.32037	0.87377	0.41747	0.07457	0.15297	0.80317	0.38107	-0.28963	0.89607	0.06167	-0.18923	1.51387	0.35167	0.05367	-0.48493	-0.55933	-0.04743	-0.15823	-0.23573	-0.59803	-0.16443	-0.31683	-0.43813	-0.18093	-0.18533	0.20727	2.16737	0.71537	1.21947	-0.50383	0.74677	0.01207	-0.16343	0.07557	-0.71343	-0.59923	0.15297	0.54777	2.15457	1.70597	-0.22353	-0.33853	0.16147	0.37667	-0.56303	0.53987	-0.06273	-0.27723	0.37297	-0.72813	0.42697	-0.24683	-0.55333	-0.42643	-0.71573	-0.62873	-0.54073	-0.60753	-0.28413	-0.83063	-0.11013	-0.34593	-0.52883	1.19097	-0.41953	-0.15983	-0.25443	0.01947	0.09167	-0.60033	-0.16223	-0.31803	-0.67003	-0.40223	-0.32263	-0.47103	-0.61203	-0.42363	-0.48203	-0.27933	-0.73983	-0.39263	-0.34743	1.05197	-0.66203	0.04457	-0.48123	-0.85563	-0.15353	-0.45983	-0.52423	-0.70433	-0.77853	-0.65423	-0.68183	-1.02403	-0.72753	-0.81313	-0.55443	-0.85623	-0.80573	-0.60173	-0.86943	-0.58813	0.82447	-0.68123	-0.52793	-0.15933	-0.32773	-0.64423	-0.32943	-0.10053	-0.39093	-0.36853	0.02757	0.51277	-0.63383	0.15237	-0.36253	0.09097	-0.31393	-0.16223	-0.70193	-0.04923	-0.54013	-0.88623	-0.94333	0.42487	-0.24783	-0.36833	0.19197	-0.12623	0.07127	-0.60623	0.93897	0.07487	0.11657	-0.40033	-0.29353	-0.49643	-0.36983	0.47087	0.17267	-0.71103	-0.43963	-0.37533	-0.41993	-0.27773	0.27387	0.23427	-0.04713	-0.03743	-0.32543	-0.57523	-0.57083
CLDN10	2.12032	1.43652	1.03052	1.26872	2.08112	1.35372	1.54322	0.56502	0.59852	1.76552	0.48922	1.17102	1.41182	0.13182	1.02802	-0.23548	-0.48278	-0.25148	1.30702	0.43252	0.96732	1.68942	0.74392	1.42012	0.40502	0.22082	0.95772	0.58792	0.31512	1.21202	0.05822	0.70372	0.43262	0.13632	1.39632	-0.58268	-0.12548	0.02472	-0.15168	0.09042	-0.21448	-0.99258	0.58442	-0.36958	0.77242	-0.07428	-0.39828	0.74562	-0.18438	-0.29828	-0.30198	-0.19398	-0.32478	-0.57288	0.14812	1.37142	0.30202	0.41052	-0.70128	-0.46648	0.13812	0.35132	0.55892	-0.02738	1.07652	-0.42948	0.30182	0.46932	0.55332	0.28552	-0.63178	-0.32368	1.53592	-0.23728	0.00282	0.01182	-0.71698	-1.00098	-0.23858	-0.73818	-0.30098	-0.95618	-0.53488	-0.57248	-0.65738	-0.09728	-0.47248	-0.91098	-0.26388	0.46682	-0.61518	-0.55868	-0.91788	-0.24358	-0.46008	-0.50918	-0.38238	-0.15448	0.18362	-0.48248	-0.50298	0.38242	0.28962	-0.16068	0.26282	-0.04298	0.12432	0.54552	0.23242	-0.59968	-0.34038	-0.26218	-0.21258	0.02912	0.58282	-0.13618	-0.21398	-0.59078	0.48662	1.54182	0.59472	0.05972	0.01632	0.39392	0.09982	0.99642	0.05202	-0.74638	-0.70748	-0.50468	-0.80848	-0.07978	-0.47628	-0.42568	-0.48338	-0.31808	-0.25968	-0.48998	-0.46598	0.13172	-0.45038	-0.68148	-0.54738	-0.21128	-0.31478	-0.56898	-0.22148	-0.56418	-0.47928	-0.48228	0.08932	-0.15658	-0.43538	-0.60958	-0.62048	-0.39178	-0.40788	-0.47478	-0.03168	-0.76828	0.16882	-0.69408	-0.36188	-0.32998	-0.39798	-0.27038	0.61792	-0.45108	-0.68118	-0.39228	0.24372	0.35832	-0.76468	-0.51998	-0.56368	0.08542	-0.19208	-0.50728	0.04402	-0.23448	-0.04068	-0.76608	-0.54438	-0.11828	-0.24348	-0.38398	-0.47038	0.08872	-0.15138	-0.22738	0.25822	-0.08698	0.59812	-0.71668	-0.07258	-0.46868	-0.44128	0.97242	0.21882	-0.33898	-0.36388	-0.66938	-0.09468	-0.59538	0.36662	0.34982	-0.38578	-0.05688	-0.25708	-0.70118	-0.48958
ZFAND1	1.43074	1.00054	1.55864	1.41684	1.39014	0.13844	1.15194	1.11174	1.26344	1.42424	1.31324	1.42394	1.16904	1.64354	0.54964	1.15494	-0.75856	-1.00876	1.08024	1.17654	1.14744	1.51694	0.57394	0.67904	0.34034	0.95604	0.48884	1.35754	0.29034	1.16984	0.53024	0.51114	0.37734	1.39794	-1.98906	1.02634	0.42644	0.75414	1.05174	0.65064	0.72694	1.07994	-2.58446	-0.09996	-1.99226	-0.21516	0.18194	-0.79956	-1.61196	-1.54486	-0.11666	-0.07486	-1.76886	0.71644	-1.98346	-0.05436	-0.01006	0.53674	-0.07426	0.06984	-0.13016	-0.60366	-0.09806	0.52274	0.22164	-0.19436	-0.39096	0.11904	0.23394	-1.16386	-0.30456	-1.95676	1.17544	0.29134	-0.95496	0.94604	1.00054	1.72604	-0.06336	1.05984	0.81034	0.63844	0.35894	0.48294	0.49544	-0.33376	-0.04196	0.67444	0.24734	-0.37266	0.58174	-1.23366	-0.72626	0.85034	0.89364	0.83584	-0.18016	-0.64996	-1.00096	-0.55456	0.37034	-0.79946	-0.38656	-0.25496	-0.55646	-2.42246	-0.85236	-1.07176	-0.42496	0.70774	-0.00476	-0.29796	-0.12986	-0.59846	-0.66116	-1.55426	-1.39866	-0.81376	-2.85526	-0.63786	-1.07066	-2.27966	-1.68416	-1.19736	-1.03516	-0.83046	-1.57616	-1.52336	0.63224	0.73234	1.07774	0.59984	0.05404	0.49414	1.00154	-0.02316	0.47184	-0.20976	1.05044	0.80194	0.53934	0.69354	-0.13936	0.84134	0.52644	0.41774	0.71654	-0.11416	-0.98756	-0.94726	-1.31786	-1.94756	-0.99516	-0.89936	-0.39126	-1.84136	-1.72756	-0.61246	-0.11516	-0.73616	0.64784	-1.20616	-1.48446	-0.36696	-0.20926	-2.64356	-2.10066	0.09114	0.05064	0.28724	0.54044	0.17604	0.92794	1.31974	0.49514	0.27314	0.97034	-0.67246	0.01304	0.34134	-1.38806	-0.00486	-0.60516	-0.22016	-0.07386	0.79194	0.59214	0.54814	0.49344	-0.17806	0.00724	0.26104	0.38294	0.43154	0.45674	0.73964	0.49114	-0.70776	-1.09696	0.34534	0.68844	0.54194	0.31924	0.54964	-0.27076	-0.90886	0.61844	0.59634	-0.23686	0.42364	0.67564
